dateRep;cases;deaths;countryterritoryCode;popData2018
17/05/2020;0;0;AFG;37172386
16/05/2020;1063;32;AFG;37172386
15/05/2020;113;6;AFG;37172386
14/05/2020;259;3;AFG;37172386
13/05/2020;280;5;AFG;37172386
12/05/2020;285;2;AFG;37172386
11/05/2020;369;5;AFG;37172386
10/05/2020;255;6;AFG;37172386
09/05/2020;215;3;AFG;37172386
08/05/2020;171;2;AFG;37172386
07/05/2020;168;9;AFG;37172386
06/05/2020;330;5;AFG;37172386
05/05/2020;190;5;AFG;37172386
04/05/2020;235;13;AFG;37172386
03/05/2020;134;4;AFG;37172386
02/05/2020;164;4;AFG;37172386
01/05/2020;222;4;AFG;37172386
30/04/2020;122;0;AFG;37172386
29/04/2020;124;3;AFG;37172386
28/04/2020;172;0;AFG;37172386
27/04/2020;68;10;AFG;37172386
26/04/2020;112;4;AFG;37172386
25/04/2020;70;1;AFG;37172386
24/04/2020;105;2;AFG;37172386
23/04/2020;84;4;AFG;37172386
22/04/2020;61;1;AFG;37172386
21/04/2020;35;2;AFG;37172386
20/04/2020;88;3;AFG;37172386
19/04/2020;63;0;AFG;37172386
18/04/2020;51;1;AFG;37172386
17/04/2020;10;4;AFG;37172386
16/04/2020;70;2;AFG;37172386
15/04/2020;49;2;AFG;37172386
14/04/2020;58;3;AFG;37172386
13/04/2020;52;0;AFG;37172386
12/04/2020;34;3;AFG;37172386
11/04/2020;37;0;AFG;37172386
10/04/2020;61;1;AFG;37172386
09/04/2020;56;3;AFG;37172386
08/04/2020;30;4;AFG;37172386
07/04/2020;38;0;AFG;37172386
06/04/2020;29;2;AFG;37172386
05/04/2020;35;1;AFG;37172386
04/04/2020;0;0;AFG;37172386
03/04/2020;43;0;AFG;37172386
02/04/2020;26;0;AFG;37172386
01/04/2020;25;0;AFG;37172386
31/03/2020;27;0;AFG;37172386
30/03/2020;8;1;AFG;37172386
29/03/2020;15;1;AFG;37172386
28/03/2020;16;1;AFG;37172386
27/03/2020;0;0;AFG;37172386
26/03/2020;33;0;AFG;37172386
25/03/2020;2;0;AFG;37172386
24/03/2020;6;1;AFG;37172386
23/03/2020;10;0;AFG;37172386
22/03/2020;0;0;AFG;37172386
21/03/2020;2;0;AFG;37172386
20/03/2020;0;0;AFG;37172386
19/03/2020;0;0;AFG;37172386
18/03/2020;1;0;AFG;37172386
17/03/2020;5;0;AFG;37172386
16/03/2020;6;0;AFG;37172386
15/03/2020;3;0;AFG;37172386
11/03/2020;3;0;AFG;37172386
08/03/2020;3;0;AFG;37172386
02/03/2020;0;0;AFG;37172386
01/03/2020;0;0;AFG;37172386
29/02/2020;0;0;AFG;37172386
28/02/2020;0;0;AFG;37172386
27/02/2020;0;0;AFG;37172386
26/02/2020;0;0;AFG;37172386
25/02/2020;1;0;AFG;37172386
24/02/2020;0;0;AFG;37172386
23/02/2020;0;0;AFG;37172386
22/02/2020;0;0;AFG;37172386
21/02/2020;0;0;AFG;37172386
20/02/2020;0;0;AFG;37172386
19/02/2020;0;0;AFG;37172386
18/02/2020;0;0;AFG;37172386
17/02/2020;0;0;AFG;37172386
16/02/2020;0;0;AFG;37172386
15/02/2020;0;0;AFG;37172386
14/02/2020;0;0;AFG;37172386
13/02/2020;0;0;AFG;37172386
12/02/2020;0;0;AFG;37172386
11/02/2020;0;0;AFG;37172386
10/02/2020;0;0;AFG;37172386
09/02/2020;0;0;AFG;37172386
08/02/2020;0;0;AFG;37172386
07/02/2020;0;0;AFG;37172386
06/02/2020;0;0;AFG;37172386
05/02/2020;0;0;AFG;37172386
04/02/2020;0;0;AFG;37172386
03/02/2020;0;0;AFG;37172386
02/02/2020;0;0;AFG;37172386
01/02/2020;0;0;AFG;37172386
31/01/2020;0;0;AFG;37172386
30/01/2020;0;0;AFG;37172386
29/01/2020;0;0;AFG;37172386
28/01/2020;0;0;AFG;37172386
27/01/2020;0;0;AFG;37172386
26/01/2020;0;0;AFG;37172386
25/01/2020;0;0;AFG;37172386
24/01/2020;0;0;AFG;37172386
23/01/2020;0;0;AFG;37172386
22/01/2020;0;0;AFG;37172386
21/01/2020;0;0;AFG;37172386
20/01/2020;0;0;AFG;37172386
19/01/2020;0;0;AFG;37172386
18/01/2020;0;0;AFG;37172386
17/01/2020;0;0;AFG;37172386
16/01/2020;0;0;AFG;37172386
15/01/2020;0;0;AFG;37172386
14/01/2020;0;0;AFG;37172386
13/01/2020;0;0;AFG;37172386
12/01/2020;0;0;AFG;37172386
11/01/2020;0;0;AFG;37172386
10/01/2020;0;0;AFG;37172386
09/01/2020;0;0;AFG;37172386
08/01/2020;0;0;AFG;37172386
07/01/2020;0;0;AFG;37172386
06/01/2020;0;0;AFG;37172386
05/01/2020;0;0;AFG;37172386
04/01/2020;0;0;AFG;37172386
03/01/2020;0;0;AFG;37172386
02/01/2020;0;0;AFG;37172386
01/01/2020;0;0;AFG;37172386
31/12/2019;0;0;AFG;37172386
17/05/2020;17;0;ALB;2866376
16/05/2020;18;0;ALB;2866376
15/05/2020;18;0;ALB;2866376
14/05/2020;4;0;ALB;2866376
13/05/2020;4;0;ALB;2866376
12/05/2020;4;0;ALB;2866376
11/05/2020;12;0;ALB;2866376
10/05/2020;6;0;ALB;2866376
09/05/2020;8;0;ALB;2866376
08/05/2020;10;0;ALB;2866376
07/05/2020;12;0;ALB;2866376
06/05/2020;17;0;ALB;2866376
05/05/2020;8;0;ALB;2866376
04/05/2020;6;0;ALB;2866376
03/05/2020;7;0;ALB;2866376
02/05/2020;9;0;ALB;2866376
01/05/2020;7;0;ALB;2866376
30/04/2020;16;1;ALB;2866376
29/04/2020;14;2;ALB;2866376
28/04/2020;10;0;ALB;2866376
27/04/2020;14;1;ALB;2866376
26/04/2020;34;0;ALB;2866376
25/04/2020;15;0;ALB;2866376
24/04/2020;29;0;ALB;2866376
23/04/2020;25;1;ALB;2866376
22/04/2020;25;0;ALB;2866376
21/04/2020;22;0;ALB;2866376
20/04/2020;14;0;ALB;2866376
19/04/2020;9;0;ALB;2866376
18/04/2020;21;0;ALB;2866376
17/04/2020;24;1;ALB;2866376
16/04/2020;19;1;ALB;2866376
15/04/2020;8;1;ALB;2866376
14/04/2020;21;0;ALB;2866376
13/04/2020;13;0;ALB;2866376
12/04/2020;17;0;ALB;2866376
11/04/2020;7;0;ALB;2866376
10/04/2020;9;1;ALB;2866376
09/04/2020;17;0;ALB;2866376
08/04/2020;6;0;ALB;2866376
07/04/2020;16;1;ALB;2866376
06/04/2020;28;2;ALB;2866376
05/04/2020;29;2;ALB;2866376
04/04/2020;27;1;ALB;2866376
03/04/2020;18;1;ALB;2866376
02/04/2020;16;0;ALB;2866376
01/04/2020;20;3;ALB;2866376
31/03/2020;11;2;ALB;2866376
30/03/2020;15;0;ALB;2866376
29/03/2020;11;1;ALB;2866376
28/03/2020;12;3;ALB;2866376
27/03/2020;28;1;ALB;2866376
26/03/2020;23;0;ALB;2866376
25/03/2020;23;1;ALB;2866376
24/03/2020;11;2;ALB;2866376
23/03/2020;13;0;ALB;2866376
22/03/2020;6;0;ALB;2866376
21/03/2020;0;0;ALB;2866376
20/03/2020;11;0;ALB;2866376
19/03/2020;4;1;ALB;2866376
18/03/2020;4;0;ALB;2866376
17/03/2020;9;0;ALB;2866376
16/03/2020;4;0;ALB;2866376
15/03/2020;5;0;ALB;2866376
14/03/2020;10;0;ALB;2866376
13/03/2020;12;0;ALB;2866376
12/03/2020;1;1;ALB;2866376
11/03/2020;4;0;ALB;2866376
10/03/2020;4;0;ALB;2866376
09/03/2020;2;0;ALB;2866376
17/05/2020;192;6;DZA;42228429
16/05/2020;187;7;DZA;42228429
15/05/2020;189;7;DZA;42228429
14/05/2020;186;7;DZA;42228429
13/05/2020;176;8;DZA;42228429
12/05/2020;168;5;DZA;42228429
11/05/2020;165;8;DZA;42228429
10/05/2020;189;6;DZA;42228429
09/05/2020;187;5;DZA;42228429
08/05/2020;185;7;DZA;42228429
07/05/2020;159;6;DZA;42228429
06/05/2020;190;5;DZA;42228429
05/05/2020;174;2;DZA;42228429
04/05/2020;179;4;DZA;42228429
03/05/2020;141;6;DZA;42228429
02/05/2020;148;3;DZA;42228429
01/05/2020;158;6;DZA;42228429
30/04/2020;199;7;DZA;42228429
29/04/2020;132;5;DZA;42228429
28/04/2020;135;7;DZA;42228429
27/04/2020;126;6;DZA;42228429
26/04/2020;129;4;DZA;42228429
25/04/2020;120;8;DZA;42228429
24/04/2020;97;5;DZA;42228429
